id,oth,rol,dur,globPos,pa,pb,do,osb,osa,opb,opa,trans,simpl,size,ouais,oui,mh,laughter,dac,non,ok,ah,voila,mais,bon,et,nbouais,nbmh,phonSplit,prevSize,prevFirstTok,prevLastTok,prevFirstBi,prevLastBi,prevJe,prevTu,prevFeed,othSize,othFirstTok,othLastTok,othFirstBi,othLastBi,othJe,othTu,othFeed,gest,steepness,slope,NanRatio,f0min,f0max,f0stdev,span,height,duration,form1,form2,form3,aperiodAV,intQ1,intQ2,intQ3,intQ1raw,intQ2raw,intQ3raw,steepnessInterl,slopeInterl,NanRatioInterl,f0minInterl,f0maxInterl,f0stdevInterl,spanInterl,heightInterl,durationInterl,aperiodAVInterl,intQ1Interl,intQ2Interl,intQ3Interl,SimScore,TFcompared,contact,ack,evaluation,reponse,invitation,autre,local,global,aucune,contin,pivot,clot,assert,quest,feedback,essai,ordre,incomp,inint,approbation,desap,confirmation,doute,attendu,inattendu,amuse,gene,baseCat,evalCat
CID_YM_1_2054830,AG,-,0.48,0.5747865778,0,4.4296,0.48,1.2641,0.8743,0,0,ouais ouais,ouais+,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,-1,1,#,#,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.005532,-0.004591,0.81203,-1.828564,1.906878,1.113109,3.735442,0.957553,0.48,299.737447,5735.513466,8517.538845,0.190478,0.230632,0.465695,0.691381,72.813981,74.359794,75.843942,-0.002663,-0.003208,0.169014,-0.798982,0.08885,0.193211,0.887832,-0.670808,0.33,62.836623,-0.581524,-0.464747,-0.321018,0.519652,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333,0,0.6666666667,0,0,0,0,0,evaluation,confirmation
CID_MG_1_366560,BX,-,2.1473238138,0.1010706858,2.1369086313,7.0316524398,0.5997475602,7.8743092191,0,0,-1.3467042282,@,@,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,-,-,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.018922,-0.003524,536,-3.28705,-3.268128,0.01338,0.018922,-3.277589,2.1473,3083.426309,6000.585706,8484.656966,1.145619,-4.052818,-3.308166,-2.228239,40.955164,46.10954,53.584635,0.023973,0.063087,5.909091,-2.523474,0.483814,1.082174,3.007289,0.024108,0.15,64.074861,-1.854465,-1.329263,-0.4056,0.065756,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,evaluation,amuse
MTR_MAX_7_127557,MAY,F,0.237,0.5555763652,3.206,4.343,0,0,0,0.176,0.467,oui,oui,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.5063291139,7,ensuite,mort,ensuite_tu,cerisier_mort,0,1,0,1,-,-,-,-,0,0,0,NoData,-0.040313,-0.067752,2.71875,-3.81299,3.205657,2.2813,7.018647,0.059578,0.237,195.155501,3492.094245,6940.757978,0.405045,-1.24423,-0.808341,-0.311429,62.762582,65.075671,67.712587,0.022765,0.024611,0.541667,-0.562074,1.746538,0.849844,2.308612,-0.185918,0.368,60.145019,-4.006531,-0.25165,0.103738,0.063077,0.092363,0,0.25,0.75,0,0,0,1,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,0,0.25,0,0,0,evaluation,None
MTR_BLX_6_97962,BLY,F,0.25,0.3463892592,0,0.332,0.074,1.071,0,0,0.17,ouais,ouais,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,1,#,#,-,-,0,0,0,5,le,café,le_three,euh_café,0,0,1,NoData,0.011832,0.01878,0.125,-1.18818,0.373854,0.485318,1.562033,-0.949166,0.25,513.741831,2107.339213,4506.737804,0.055392,-0.392085,0.497109,0.673851,62.194917,68.154277,69.338797,0.017458,0.039677,1.25641,-1.14303,0.345381,0.536156,1.488411,-0.705542,0.175,61.216821,-2.318534,-1.113464,-0.270673,0.005626,0.020897,0,0.3333333333,0,0.6666666667,0,0,1,0,0,0,0,0,0.3333333333,0,0,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,reponse,None
CID_AP_1_2216480,LJ,-,1.54,0.5465900525,0.23,4.0569090367,0.81,2.2625,0,0,0.9588719262,'ouais ben ouais j'' imagine ouais ça',complex,7,1,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,1,#,#,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.001801,-0.001354,0.027027,-0.888978,0.430681,0.292109,1.319659,-0.188991,0.53,263.791371,8100.000797,NaN,0.012604,-0.593671,-0.546337,-0.304845,66.620054,66.979182,68.811402,0.003156,0.005955,0.247059,-0.919411,-0.476522,0.099569,0.442889,-0.647007,0.21,54.929571,-1.455679,-1.270315,-1.154595,0.865184,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666667,0,0.3333333333,0,0,0,0,0,evaluation,approbation
CID_MB_1_33334,AC,-,1.7719020377,0.0083664741,0.9302012486,1.099719774,0,0,0,3.3340130553,29.9229926944,mh,mh,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,1,dummy,dummy,-,-,0,0,0,1,*,*,-,-,0,0,0,NoData,-0.007916,-0.001787,4.572327,-4.087795,1.185383,1.35538,5.273178,0.858164,1.7719,179.922406,5858.936806,8249.819181,0.821685,-2.902058,-1.823928,-0.997301,48.686119,55.775144,61.210463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.3333333333,0,0,0.3333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0.3333333333,0,0,0,0,0,0,0,None,None
CID_AP_1_3677600,LJ,-,3.5450259301,0.9069064463,0,14.5507740699,2.6858,0,-1.9558,0.0907740699,0,@ ouais,complex,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,-1,35,il,quoi,il_perd,euh_quoi,0,0,1,1,-,-,-,-,0,0,0,NoData,0.000375,0.000042,1.569565,-0.906514,1.96979,0.43245,2.876304,0.140843,3.545,222.602126,6354.327684,8119.769188,0.739169,-5.032015,-3.376544,-0.761297,32.945956,45.506161,65.348264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3333333333,0,0,0,1,0,evaluation,amuse
CID_CM_1_1109340,AB,-,0.5963,0.3101888541,3.7237,1.3313,0,0,0,0.9031,0.1237,mh je_savais pas,complex,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,2,ah,ouais,ah_ouais,ah_ouais,0,0,2,3,mh,ouais,mh_ah,ah_ouais,0,0,3,NoData,0.007127,0.02795,0.0625,0.55061,0.939134,0.126018,0.388524,0.750294,0.1,220.784271,5805.452235,8630.493676,0.049917,-1.558478,-1.052256,-0.9752,59.151024,62.614188,63.141348,0.019507,0.032785,0.15534,-2.206411,0.36038,1.166811,2.566792,0.146265,0.2369,61.755329,-0.923969,-0.723979,-0.547055,0.58409,1,0,0,0.5,0,0,0.5,1,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0.25,0,0,0,0,0.25,0,0,None,None
CID_CM_1_3176440,AB,-,0.29,0.8881824181,0,0.71,0,0,0,1.2023,6.6663307705,ouais mais,complex,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,-1,10,'c''',enneigé,'c''_est',moins_enneigé,0,0,0,1,ouais,ouais,-,-,0,0,1,NoData,0.002332,0.003195,0.073529,-0.389768,0.233709,0.191357,0.623477,0.046555,0.29,440.672364,6113.279384,8815.434771,0.02756,0.413931,0.865568,1.129575,72.644672,75.734413,77.540541,0.002915,0.001931,0.348214,-0.898666,0.523976,0.358443,1.422642,-0.408829,0.6026,56.646192,-2.104334,-1.079312,-0.777098,1.020933,1,0,0.25,0.75,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,evaluation,approbation
CID_YM_1_1599960,AG,-,0.16,0.4475482317,0,0.3212,0,0,0,0.1705,0.08,ouais,ouais,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,1,libres,libres,-,-,0,0,0,5,enfin,point-,enfin_tu,on_point-,0,1,0,NoData,-0.013898,-0.034744,2.636364,-1.293681,-0.215583,0.342795,1.078099,-0.988888,0.16,457.691272,7660.50469,10000,0.337913,-1.207718,-0.611009,-0.483618,63.355168,67.279224,68.116965,-0.00767,-0.007483,0.666667,-2.356434,0.836715,0.782085,3.193149,0.022507,0.4095,63.002872,-1.335997,-0.453763,0.473472,0.60893,1,0,0.3333333333,0.3333333333,0.3333333333,0,0,1,0,0,0,0,0,0.6666666667,0.3333333333,0,0,0,0,0,0,0,0.3333333333,0,0,0,0,0,None,None
