slope,prevfirstBi,rol,feedback,simple,intQ1raw,ordre,othSize,essai,prevSize,laugh,osa,EvalFun1,prevRed,prevNbJe,nbouais,size,baseFun0.65,sess,span,mais,EvalFun0.65,intQ2raw,f0max,pb,start,pa,f0stdev,voila,dur,NanRatio,othLastBi,oth,do,non,dac,durationInterl,intQ2Interl,assert,f0min,opa,opb,prevLastBi,height,corpus,baseFun0.74,intQ1Interl,mh,othNbJe,slopeInterl,form2,form1,nbmh,prevNbFeedback,f0maxInterl,trans,oui,NanRatioInterl,ah,intQ3Interl,othFirstTok,f0minInterl,spk,duration,et,intQ3raw,id,form3,incomp,osb,intQ1,intQ3,intQ2,baseFun0.49,aperiodAVInterl,othfirstBi,posDial,baseFun1,othLastTok,prevLastTok,f0stdevInterl,EvalFun0.49,othNbFeedback,aperiodAV,prevNbTu,heightInterl,phonSplit,spanInterl,ouais,othNbTu,ok,steepnessInterl,ndo,EvalFun0.74,steepness,prevFirstTok,quest,inint,bon,gest,sa,othRed
-0.018712,*_faire,-,0,voilÇÿ,64.118928,0,1,0,14,0,0.718698644,None,0,0,0,1,evaluation,1,3.252098,0,approbation,72.396781,0.015595,1.4891,1079.35,0.2806,0.816943,1,0.36,0.425197,-,CM,0.36,0,0,0.2444,-4.005227,1,-3.236503,0,0,leur_foyer,-0.239705,CID,evaluation,-4.627032,0,0,-0.060552,2453.791478,322.594004,0,0,-3.537777,voilÇÿ,0,122,0,-3.298106,#,-3.537777,AB,0.36,0,74.729647,CID_AB_1_1079350,7872.956466,0,0.284890102,-0.557127,0.747285,0.460498,evaluation,42.348154,-,0.30180318,evaluation,#,foyer,0,approbation,0,0.184933,0,-3.537777,-1,0,0,0,0,-0.03724,1,None,-0.016935,*,0,0,0,NoData,0,0
0.003475,Çÿ_Aix,-,0.333333333,ouais,66.461832,0,2,0,2,0,0,None,0,0,1,1,reponse,1,0.432987,0,None,68.860748,0.760984,1.0603,1093.27,0.5737,0.125919,0,0.2963,0.020548,ah_ouais,CM,0,0,0,0.1176,0.242533,0.333333333,0.327997,3.5437,0.5224,Çÿ_Aix,0.516396,CID,None,-0.715555,0,0,0.211739,2785.911893,309.435408,0,0,3.633295,ouais,0,0.134615,0,0.41884,ah,0.557945,AB,0.2963,0,70.599331,CID_AB_1_1093270,8077.622454,0,0,-0.269106,0.239531,0.025801,reponse,68.646346,ah_ouais,0.30569543,None,ouais,Aix,1.125056,None,2,0.02769,0,1.608529,0.438744516,3.07535,1,0,0,0.062463,0,None,0.002589,Çÿ,0.333333333,0,0,NoData,0,0
0.007843,ah_si,-,0,complex,69.591976,0,14,0.333333333,8,0,0.5754,None,0,0,0,2,reponse,1,0.308425,0,None,70.699484,0.491609,0.7796,1105.8396,0.7348,0.087827,0,0.7204,0.03125,filles_ou,CM,0.22,0,0,0.3904,-0.617841,0.333333333,0.183183,0,0.1296,suis_sÇ¯re,0.227538,CID,None,-0.788256,0,0,-0.000939,8257.442495,275.357114,0,1,0.551276,oui exactement,1,0.010309,0,-0.550114,des,0.17928,AB,0.13,0,71.064375,CID_AB_1_1105839.6,NaN,0,0,0.115693,0.2967,0.251843,reponse,65.225958,des_foyers,0.309210087,None,ou,sÇ¯re,0.086851,None,0,0.016259,0,0.2514,-1,0.371996,0,0,0,-0.00092,0.305385897,None,0.002588,ah,0.333333333,0,0,NoData,0,0
0.074845,oui_exactement,-,0,ouais,63.887708,0,3,0.333333333,2,0,0.5531,None,0,0,1,1,reponse,1,2.480848,0,None,68.711047,0.391251,0.7348,1107.2948,0.7144,0.86283,0,0.1608,0.472727,mixtes_quoi,CM,0.0956,0,0,0.2254,-1.326026,0.333333333,-2.089597,0,0.1594,oui_exactement,0.184625,CID,None,-2.360128,0,0,0.000687,2369.924169,245.469404,0,1,0.719017,ouais,0,0.614286,0,-0.466429,non,0.029804,AB,0.1608,0,69.61649,CID_AB_1_1107294.8,7852.902821,0,0,-0.585551,0.118707,0.007398,reponse,59.01592,non_mixtes,0.309616984,None,quoi,exactement,0.122668,None,1,0.239091,0,0.164573,0.497512438,0.689213,1,0,0,0.000388,0.594527363,None,0.030312,oui,0.333333333,0,0,NoData,0,0
0.015834,-,-,0.333333333,complex,60.67205,0,3,0,1,0,0,None,0,0,1,2,None,1,2.852599,0,None,62.527274,0.646188,0.7144,1108.17,1.6231,1.182383,0,0.2669,0.145299,ah_ouais,CM,0,0,0,0.5887,-0.638467,0.666666667,-2.206411,0.9031,0.1613,-,0.16048,CID,None,-1.112444,0,0,0.001179,8362.266948,207.747718,0,1,0.841655,ah ouais,0,0.170635,1,-0.471368,mh,-3.172557,AB,0.2669,0,64.167373,CID_AB_1_1108170,NaN,0,0,-0.980863,-0.551171,-0.752794,None,63.531807,mh_ah,0.309861704,None,ouais,ouais,0.944062,None,3,0.092185,0,0.347959,-1,4.014212,1,0,0,0.001739,0,None,0.010609,ouais,0,0,0,NoData,0,0
-0.003198,'ah_j''',-,0,complex,62.8736,0,1,0.333333333,9,0,0.5483,None,0,0,1,2,evaluation,1,0.457849,1,None,68.982203,0.36038,3.91,1115.68,0,0.059937,0,0.19,0.266667,-,CM,0.19,0,0,0.12,-1.939548,0.666666667,-0.097468,0,0,garÇõons_mais,0.119958,CID,None,-2.510962,0,0,0.307895,2868.487403,234.59307,0,1,1.218534,ouais mais,0,14.25,0,-1.580458,#,-3.537261,AB,0.19,0,71.521549,CID_AB_1_1115680,7941.038962,0,2.02,-0.710219,0.352902,0.040732,evaluation,54.583479,-,0.311961618,None,#,mais,2.351656,None,0,0.138013,0,1.138894,-1,4.755795,1,0,0,0.093908,1,None,-0.001519,ah,0,0,0,NoData,0.8349,0
-0.006349,-,-,0,ouais,62.774575,0,25,0,1,0,0.8192,None,0,0,1,1,ack,1,0.533981,0,None,71.070402,0.408876,14.09,1206.88,0.9823,0.083979,0,0.2077,0.444444,Ç¸tait_cassÇ¸,CM,0.0152,0,0,0.3638,-1.763204,1,-0.125105,0,0.4541,-,0.116845,CID,None,-2.61516,0,2,0.002481,1802.164908,266.578093,0,0,0.881577,ouais,0,2.192982,0,-0.62153,et,-2.322651,AB,0.2077,0,71.766293,CID_AB_1_1206880,8202.563797,0,0,-0.722393,0.38299,0.297441,ack,57.48759,et_je,0.337462567,None,cassÇ¸,-,0.461164,None,0,0.207344,0,0.280851,0.577756379,3.204228,1,2,0,0.002258,0.073182475,None,-0.003301,-,0,0,0,NoData,0,0
-0.00121,espÇùce_de,-,0,mh+,63.223549,0,1,0,9,0,0.48,None,0,0,0,2,evaluation,1,0.642732,0,approbation,65.377608,0.843321,0.35,1210.78,0.4893,0.102673,0,0.26,0.056452,-,CM,0.26,0,0,0.3081,-0.198642,1,0.200588,0,0,etc_ouais,0.346858,CID,None,-1.602854,1,0,0.005622,8090.742421,217.618511,2,2,0.731706,mh mh,0,1.719298,0,0.460389,#,-0.041311,AB,0.26,0,67.217587,CID_AB_1_1210780,NaN,0,1.32,-0.667199,-0.176198,-0.402393,evaluation,63.716364,-,0.338553068,None,#,ouais,0.228358,approbation,0,0.034102,0,0.541836,0.538461539,0.773017,0,0,0,0.004357,1,None,-0.000793,espÇùce,0,0,0,NoData,0,0
0.007049,-,-,0,oui,75.273641,0,1,0,1,0,0.1859,None,0,0,0,1,evaluation,1,4.301941,0,approbation,76.943068,1.141897,23.0591,122.6091,0.9955,0.917809,0,0.5409,0.328431,-,CM,0.5409,0,0,0.11,-0.742831,1,-3.160044,0,0,-,0.02291,CID,None,-0.875278,0,0,0.214633,3084.845267,243.062301,0,0,0.25093,oui,1,0.513514,0,-0.610675,-,-2.337708,AB,0.5409,0,77.840996,CID_AB_1_122609.1,7971.202935,0,8.6391,0.81416,1.129773,1.019388,evaluation,64.426931,-,0.034283426,None,-,-,1.14398,approbation,0,0.151562,0,0.155797,0.517655759,2.588638,0,0,0,0.060097,1,None,0.009552,-,0,0,0,NoData,0,0
-0.002322,et_brÇ¯lÇ¸,-,0,complex,60.65254,0,1,0,2,0,1.96,None,0,0,1,2,evaluation,1,1.036346,0,None,65.795236,1.093005,2.178882129,1252.8673,0,0.260039,0,0.562717871,0.382353,-,CM,0.562717871,0,0,0.4272,-1.357337,1,0.056658,0,0,et_brÇ¯lÇ¸,0.597101,CID,evaluation,-3.075312,0,0,0.010037,8724.615776,256.597961,0,0,1.161583,ah ouais,0,1.779221,1,-0.145749,#,-3.456395,AB,0.5627,0,68.044086,CID_AB_1_1252867.3,NaN,0,2.817282129,-0.983262,-0.074594,-0.351053,evaluation,58.538399,-,0.350321332,evaluation,#,brÇ¯lÇ¸,0.937515,None,0,0.18144,0,0.380927,-1,4.617978,1,0,0,0.01074,1,None,-0.003274,et,0,0,0,NoData,1.94,0
